source,compressor,refrigerant,bore_mm,stroke_mm,n_cyl,f_elec_Hz,T_ev_C,T_co_C,T_suc_C,DeltaT_sh_K,p_suc_bar,p_dis_bar,eta_is,eta_vol
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-30,10,1.1112,8.3646,0.6434,0.6211
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-25,15,1.1112,8.3646,0.6429,0.6207
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-20,20,1.1112,8.3646,0.6423,0.6204
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-15,25,1.1112,8.3646,0.6417,0.6202
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-10,30,1.1112,8.3646,0.6414,0.6201
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,-5,35,1.1112,8.3646,0.6411,0.6202
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,0,40,1.1112,8.3646,0.6407,0.6202
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,5,45,1.1112,8.3646,0.6403,0.6203
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,20,10,50,1.1112,8.3646,0.6396,0.6201
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-30,10,1.1112,9.5207,0.6488,0.6001
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-25,15,1.1112,9.5207,0.6482,0.5998
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-20,20,1.1112,9.5207,0.6477,0.5995
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-15,25,1.1112,9.5207,0.6472,0.5993
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-10,30,1.1112,9.5207,0.6468,0.5993
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,-5,35,1.1112,9.5207,0.6465,0.5995
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,0,40,1.1112,9.5207,0.6462,0.5998
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,5,45,1.1112,9.5207,0.6459,0.6001
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,25,10,50,1.1112,9.5207,0.6455,0.6004
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-30,10,1.1112,10.7899,0.6484,0.5766
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-25,15,1.1112,10.7899,0.648,0.5763
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-20,20,1.1112,10.7899,0.6475,0.576
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-15,25,1.1112,10.7899,0.647,0.5758
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-10,30,1.1112,10.7899,0.6466,0.5758
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,-5,35,1.1112,10.7899,0.6462,0.5761
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,0,40,1.1112,10.7899,0.646,0.5765
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,5,45,1.1112,10.7899,0.6458,0.5769
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,30,10,50,1.1112,10.7899,0.6458,0.5777
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-30,10,1.1112,12.1788,0.6462,0.5503
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-25,15,1.1112,12.1788,0.6458,0.55
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-20,20,1.1112,12.1788,0.6453,0.5498
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-15,25,1.1112,12.1788,0.6449,0.5495
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-10,30,1.1112,12.1788,0.6444,0.5495
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,-5,35,1.1112,12.1788,0.644,0.5498
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,0,40,1.1112,12.1788,0.6437,0.5503
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,5,45,1.1112,12.1788,0.6437,0.5508
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,35,10,50,1.1112,12.1788,0.644,0.5517
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-30,10,1.1112,13.6942,0.6453,0.5212
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-25,15,1.1112,13.6942,0.645,0.521
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-20,20,1.1112,13.6942,0.6446,0.5207
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-15,25,1.1112,13.6942,0.6442,0.5205
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-10,30,1.1112,13.6942,0.6436,0.5204
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,-5,35,1.1112,13.6942,0.6431,0.5206
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,0,40,1.1112,13.6942,0.6429,0.521
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,5,45,1.1112,13.6942,0.6428,0.5215
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,40,10,50,1.1112,13.6942,0.6433,0.5223
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-30,10,1.1112,15.3431,0.6492,0.4893
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-25,15,1.1112,15.3431,0.6489,0.489
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-20,20,1.1112,15.3431,0.6486,0.4888
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-15,25,1.1112,15.3431,0.6483,0.4886
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-10,30,1.1112,15.3431,0.6476,0.4884
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,-5,35,1.1112,15.3431,0.647,0.4884
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,0,40,1.1112,15.3431,0.6467,0.4886
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,5,45,1.1112,15.3431,0.6466,0.4889
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,45,10,50,1.1112,15.3431,0.6471,0.4896
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-30,10,1.1112,17.133,0.6622,0.4544
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-25,15,1.1112,17.133,0.662,0.4541
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-20,20,1.1112,17.133,0.6618,0.4539
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-15,25,1.1112,17.133,0.6615,0.4538
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-10,30,1.1112,17.133,0.6606,0.4533
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,-5,35,1.1112,17.133,0.6599,0.4531
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,0,40,1.1112,17.133,0.6595,0.453
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,5,45,1.1112,17.133,0.6592,0.453
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,50,10,50,1.1112,17.133,0.6594,0.4532
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,-30,10,1.1112,19.0717,0.6912,0.4164
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,-25,15,1.1112,19.0717,0.6911,0.4162
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,-20,20,1.1112,19.0717,0.6909,0.416
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,-15,25,1.1112,19.0717,0.6907,0.4158
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,-10,30,1.1112,19.0717,0.6896,0.4152
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,-5,35,1.1112,19.0717,0.6889,0.4145
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,0,40,1.1112,19.0717,0.6882,0.414
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,5,45,1.1112,19.0717,0.6876,0.4136
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,55,10,50,1.1112,19.0717,0.687,0.413
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,-30,10,1.1112,21.1675,0.7506,0.3753
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,-25,15,1.1112,21.1675,0.7506,0.3751
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,-20,20,1.1112,21.1675,0.7505,0.3749
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,-15,25,1.1112,21.1675,0.7504,0.3748
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,-10,30,1.1112,21.1675,0.749,0.3738
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,-5,35,1.1112,21.1675,0.7483,0.3727
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,0,40,1.1112,21.1675,0.7473,0.3716
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,5,45,1.1112,21.1675,0.7462,0.3706
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-40,60,10,50,1.1112,21.1675,0.7438,0.3691
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,-25,10,1.3723,8.3646,0.6465,0.6876
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,-20,15,1.3723,8.3646,0.646,0.6871
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,-15,20,1.3723,8.3646,0.6455,0.6867
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,-10,25,1.3723,8.3646,0.645,0.6864
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,-5,30,1.3723,8.3646,0.6446,0.6861
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,0,35,1.3723,8.3646,0.6443,0.6857
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,5,40,1.3723,8.3646,0.6438,0.6853
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,10,45,1.3723,8.3646,0.6432,0.6848
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,20,15,50,1.3723,8.3646,0.6424,0.6843
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,-25,10,1.3723,9.5207,0.6572,0.6721
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,-20,15,1.3723,9.5207,0.6568,0.6717
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,-15,20,1.3723,9.5207,0.6563,0.6713
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,-10,25,1.3723,9.5207,0.6558,0.6709
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,-5,30,1.3723,9.5207,0.6555,0.6707
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,0,35,1.3723,9.5207,0.6552,0.6705
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,5,40,1.3723,9.5207,0.6547,0.6701
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,10,45,1.3723,9.5207,0.6542,0.6698
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,25,15,50,1.3723,9.5207,0.6534,0.6694
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,-25,10,1.3723,10.7899,0.6613,0.6538
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,-20,15,1.3723,10.7899,0.6609,0.6534
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,-15,20,1.3723,10.7899,0.6604,0.653
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,-10,25,1.3723,10.7899,0.66,0.6526
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,-5,30,1.3723,10.7899,0.6597,0.6525
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,0,35,1.3723,10.7899,0.6594,0.6523
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,5,40,1.3723,10.7899,0.659,0.6521
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,10,45,1.3723,10.7899,0.6584,0.6519
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,30,15,50,1.3723,10.7899,0.6577,0.6516
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,-25,10,1.3723,12.1788,0.6618,0.6326
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,-20,15,1.3723,12.1788,0.6615,0.6321
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,-15,20,1.3723,12.1788,0.6611,0.6318
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,-10,25,1.3723,12.1788,0.6608,0.6314
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,-5,30,1.3723,12.1788,0.6605,0.6313
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,0,35,1.3723,12.1788,0.6601,0.6312
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,5,40,1.3723,12.1788,0.6597,0.6311
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,10,45,1.3723,12.1788,0.6593,0.6309
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,35,15,50,1.3723,12.1788,0.6587,0.6307
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,-25,10,1.3723,13.6942,0.6618,0.6083
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,-20,15,1.3723,13.6942,0.6616,0.6079
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,-15,20,1.3723,13.6942,0.6613,0.6075
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,-10,25,1.3723,13.6942,0.6609,0.6072
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,-5,30,1.3723,13.6942,0.6607,0.6071
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,0,35,1.3723,13.6942,0.6603,0.607
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,5,40,1.3723,13.6942,0.6599,0.6069
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,10,45,1.3723,13.6942,0.6595,0.6068
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,40,15,50,1.3723,13.6942,0.6591,0.6066
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,-25,10,1.3723,15.3431,0.6638,0.581
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,-20,15,1.3723,15.3431,0.6637,0.5806
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,-15,20,1.3723,15.3431,0.6634,0.5803
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,-10,25,1.3723,15.3431,0.6632,0.58
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,-5,30,1.3723,15.3431,0.663,0.5798
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,0,35,1.3723,15.3431,0.6626,0.5797
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,5,40,1.3723,15.3431,0.6622,0.5796
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,10,45,1.3723,15.3431,0.6618,0.5794
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,45,15,50,1.3723,15.3431,0.6615,0.5793
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,-25,10,1.3723,17.133,0.6707,0.5506
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,-20,15,1.3723,17.133,0.6706,0.5502
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,-15,20,1.3723,17.133,0.6705,0.5498
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,-10,25,1.3723,17.133,0.6703,0.5496
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,-5,30,1.3723,17.133,0.6701,0.5493
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,0,35,1.3723,17.133,0.6698,0.5492
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,5,40,1.3723,17.133,0.6694,0.549
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,10,45,1.3723,17.133,0.6691,0.5488
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,50,15,50,1.3723,17.133,0.6687,0.5485
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,-25,10,1.3723,19.0717,0.6859,0.5169
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,-20,15,1.3723,19.0717,0.6859,0.5165
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,-15,20,1.3723,19.0717,0.6859,0.5162
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,-10,25,1.3723,19.0717,0.6858,0.5159
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,-5,30,1.3723,19.0717,0.6857,0.5157
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,0,35,1.3723,19.0717,0.6855,0.5153
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,5,40,1.3723,19.0717,0.6852,0.515
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,10,45,1.3723,19.0717,0.6848,0.5147
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,55,15,50,1.3723,19.0717,0.6843,0.5143
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,-25,10,1.3723,21.1675,0.7153,0.4799
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,-20,15,1.3723,21.1675,0.7154,0.4796
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,-15,20,1.3723,21.1675,0.7155,0.4793
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,-10,25,1.3723,21.1675,0.7155,0.479
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,-5,30,1.3723,21.1675,0.7155,0.4787
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,0,35,1.3723,21.1675,0.7155,0.4782
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,5,40,1.3723,21.1675,0.7153,0.4776
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,10,45,1.3723,21.1675,0.7148,0.4771
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-35,60,15,50,1.3723,21.1675,0.7138,0.4766
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,-20,10,1.6783,8.3646,0.6462,0.7406
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,-15,15,1.6783,8.3646,0.6458,0.74
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,-10,20,1.6783,8.3646,0.6454,0.7396
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,-5,25,1.6783,8.3646,0.645,0.7392
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,0,30,1.6783,8.3646,0.6447,0.7388
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,5,35,1.6783,8.3646,0.6444,0.7383
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,10,40,1.6783,8.3646,0.644,0.7378
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,15,45,1.6783,8.3646,0.6435,0.7374
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,20,20,50,1.6783,8.3646,0.643,0.7375
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,-20,10,1.6783,9.5207,0.6599,0.7289
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,-15,15,1.6783,9.5207,0.6596,0.7284
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,-10,20,1.6783,9.5207,0.6592,0.7279
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,-5,25,1.6783,9.5207,0.6588,0.7276
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,0,30,1.6783,9.5207,0.6586,0.7272
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,5,35,1.6783,9.5207,0.6583,0.7268
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,10,40,1.6783,9.5207,0.6579,0.7263
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,15,45,1.6783,9.5207,0.6575,0.7259
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,25,20,50,1.6783,9.5207,0.6568,0.7257
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,-20,10,1.6783,10.7899,0.666,0.7143
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,-15,15,1.6783,10.7899,0.6657,0.7138
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,-10,20,1.6783,10.7899,0.6654,0.7133
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,-5,25,1.6783,10.7899,0.6651,0.713
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,0,30,1.6783,10.7899,0.6648,0.7126
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,5,35,1.6783,10.7899,0.6646,0.7123
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,10,40,1.6783,10.7899,0.6642,0.7118
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,15,45,1.6783,10.7899,0.6638,0.7114
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,30,20,50,1.6783,10.7899,0.6631,0.711
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,-20,10,1.6783,12.1788,0.6674,0.6967
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,-15,15,1.6783,12.1788,0.6672,0.6962
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,-10,20,1.6783,12.1788,0.667,0.6957
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,-5,25,1.6783,12.1788,0.6667,0.6954
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,0,30,1.6783,12.1788,0.6665,0.6951
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,5,35,1.6783,12.1788,0.6663,0.6948
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,10,40,1.6783,12.1788,0.6659,0.6944
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,15,45,1.6783,12.1788,0.6655,0.694
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,35,20,50,1.6783,12.1788,0.6649,0.6935
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,40,-20,10,1.6783,13.6942,0.6669,0.676
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,40,-15,15,1.6783,13.6942,0.6668,0.6755
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,40,-10,20,1.6783,13.6942,0.6666,0.6751
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,40,-5,25,1.6783,13.6942,0.6664,0.6747
Bitzer EN12900,Bitzer 2CESP-3Z,Propane,55,39.3,2,50,-30,40,0,30,1.6783,13.6942,0.6663,0.6745
